owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
DavidHDev,react-bits,36393,2024-08-06T06:54:54Z,2026-03-05T22:43:36Z,JavaScript,155,0,477,471
typeorm,typeorm,36365,2016-02-29T07:41:14Z,2026-03-05T22:33:26Z,TypeScript,2387,40,8557,8132
SheetJS,sheetjs,36203,2012-12-03T19:25:52Z,2026-03-05T20:32:11Z,,106,0,2386,2267
hankcs,HanLP,36169,2014-10-09T06:36:16Z,2026-03-05T16:00:02Z,Python,79,62,1434,1426
slatedocs,slate,36158,2013-09-13T22:15:24Z,2026-03-05T18:22:15Z,,298,28,609,559
formulahendry,955.WLB,36140,2019-03-27T23:53:37Z,2026-03-05T08:06:38Z,,18,0,263,81
juanfont,headscale,36139,2020-06-21T09:21:05Z,2026-03-05T23:35:57Z,Go,1232,132,1235,1158
lerna,lerna,36089,2015-12-04T09:36:55Z,2026-03-05T09:41:55Z,TypeScript,1021,249,2693,2313
666ghj,BettaFish,36085,2024-07-01T13:11:38Z,2026-03-05T18:38:12Z,Python,105,6,391,374
myshell-ai,OpenVoice,36040,2023-11-29T12:17:01Z,2026-03-05T16:45:03Z,Python,18,0,348,73
geekxh,hello-algorithm,36017,2020-05-29T05:47:09Z,2026-03-05T15:11:37Z,Java,26,0,44,33
XingangPan,DragGAN,35973,2023-05-18T10:08:02Z,2026-03-05T08:37:01Z,Python,18,0,192,46
carbon-app,carbon,35966,2017-06-16T02:50:28Z,2026-03-05T16:50:47Z,JavaScript,669,215,690,627
aseprite,aseprite,35940,2014-08-19T23:44:50Z,2026-03-05T23:07:20Z,C++,482,123,4482,2640
opentofu,manifesto,35891,2023-08-13T16:17:24Z,2026-03-05T15:13:00Z,HTML,765,0,26,14
servo,servo,35887,2012-02-08T19:07:25Z,2026-03-05T23:40:51Z,Rust,23072,5,15218,12335
qbittorrent,qBittorrent,35821,2012-02-04T09:37:46Z,2026-03-05T23:48:28Z,C++,4120,0,17275,14820
deepseek-ai,awesome-deepseek-integration,35792,2024-01-11T02:43:17Z,2026-03-05T22:27:36Z,,289,0,156,154
ShareX,ShareX,35780,2013-10-08T23:32:10Z,2026-03-05T23:05:01Z,C#,774,85,7177,6611
reworkd,AgentGPT,35771,2023-04-07T02:29:19Z,2026-03-05T21:18:11Z,TypeScript,541,12,469,337
fastify,fastify,35752,2016-09-28T19:10:14Z,2026-03-05T22:37:24Z,JavaScript,3263,308,2146,2070
koajs,koa,35738,2013-07-20T18:53:45Z,2026-03-05T14:03:56Z,JavaScript,541,16,932,914
doocs,leetcode,35728,2018-09-16T14:03:03Z,2026-03-05T23:49:13Z,Java,4462,21,58,58
mattermost,mattermost,35674,2015-06-15T06:50:02Z,2026-03-05T22:55:38Z,TypeScript,20534,936,9194,8657
YunaiV,ruoyi-vue-pro,35653,2021-01-24T03:18:25Z,2026-03-05T22:23:45Z,Java,73,54,742,739
jondot,awesome-react-native,35620,2015-03-26T19:58:06Z,2026-03-05T14:25:13Z,JavaScript,912,0,75,37
jaywcjlove,linux-command,35611,2016-11-12T15:44:26Z,2026-03-05T13:20:23Z,Markdown,370,32,209,133
XTLS,Xray-core,35594,2020-11-09T11:23:10Z,2026-03-05T22:54:00Z,Go,1205,106,2778,2753
veggiemonk,awesome-docker,35594,2014-09-21T17:01:48Z,2026-03-05T22:15:26Z,Makefile,991,1,142,136
airbnb,lottie-android,35588,2016-10-06T22:42:42Z,2026-03-05T22:52:33Z,Java,720,63,1800,1752
junegunn,vim-plug,35579,2013-09-10T14:58:51Z,2026-03-05T22:47:20Z,Vim Script,179,8,1041,972
