owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
wailsapp,wails,33224,2018-12-15T23:14:06Z,2026-03-13T15:06:33Z,Go,1690,292,2325,2092
pcottle,learnGitBranching,33223,2012-08-13T22:36:09Z,2026-03-13T17:31:17Z,JavaScript,652,0,531,478
HKUDS,nanobot,33204,2026-02-01T07:16:15Z,2026-03-13T17:58:00Z,Python,275,9,603,188
awesome-foss,awesome-sysadmin,33200,2014-12-23T08:41:22Z,2026-03-13T17:50:02Z,,343,0,105,90
bilibili,ijkplayer,33121,2013-06-03T04:12:04Z,2026-03-13T08:24:58Z,C,35,0,5384,2547
aquasecurity,trivy,33115,2019-04-11T01:01:07Z,2026-03-13T17:53:23Z,Go,3513,85,3039,2873
adobe,brackets,33107,2011-12-07T21:14:40Z,2026-03-12T06:22:09Z,JavaScript,4332,69,9683,7066
mckaywrigley,chatbot-ui,33100,2023-03-11T14:53:14Z,2026-03-13T12:48:31Z,TypeScript,281,0,1002,817
immutable-js,immutable-js,33097,2014-07-02T06:02:29Z,2026-03-13T12:57:12Z,TypeScript,622,93,1267,1172
derailed,k9s,33057,2019-01-25T18:46:02Z,2026-03-13T17:59:30Z,Go,965,257,2291,2100
AdguardTeam,AdGuardHome,33037,2016-07-06T10:31:47Z,2026-03-13T15:42:28Z,Go,125,231,5929,4699
huggingface,diffusers,33030,2022-05-30T16:04:02Z,2026-03-13T15:05:23Z,Python,5537,89,5246,4638
TabbyML,tabby,33017,2023-03-16T09:18:01Z,2026-03-13T17:12:07Z,Rust,3001,249,992,753
gulpjs,gulp,33013,2013-07-04T05:26:06Z,2026-03-10T20:09:33Z,JavaScript,412,24,1937,1907
SerenityOS,serenity,33000,2018-12-02T19:28:41Z,2026-03-13T06:05:53Z,C++,19929,0,4293,3572
firecracker-microvm,firecracker,32981,2017-10-19T06:18:47Z,2026-03-13T16:57:38Z,Rust,3443,86,1487,1438
block,goose,32969,2024-08-23T19:03:36Z,2026-03-13T17:57:02Z,Rust,4371,123,1848,1667
GyulyVGC,sniffnet,32967,2022-07-31T21:55:56Z,2026-03-13T14:53:41Z,Rust,489,16,317,270
nothings,stb,32934,2014-05-25T16:51:23Z,2026-03-13T17:52:35Z,C,292,0,941,717
ocrmypdf,OCRmyPDF,32930,2013-12-20T08:26:28Z,2026-03-13T16:52:44Z,Python,169,52,1322,1185
shadowsocks,ShadowsocksX-NG,32905,2016-06-10T11:49:00Z,2026-03-13T14:44:25Z,Swift,64,30,1360,1051
certbot,certbot,32897,2014-11-12T02:52:20Z,2026-03-13T10:18:33Z,Python,4081,69,5525,5392
ItzCrazyKns,Vane,32893,2024-04-09T10:51:32Z,2026-03-13T17:51:37Z,TypeScript,84,33,618,435
fish-shell,fish-shell,32849,2012-05-10T03:00:55Z,2026-03-13T15:01:39Z,Rust,2192,62,8023,7528
ibraheemdev,modern-unix,32815,2021-01-12T00:50:14Z,2026-03-13T04:34:35Z,,15,0,84,30
backstage,backstage,32808,2020-01-24T22:39:49Z,2026-03-13T17:31:53Z,TypeScript,20478,498,7498,7188
zeromicro,go-zero,32800,2020-08-07T15:37:57Z,2026-03-13T10:44:04Z,Go,2435,149,1957,1792
openai,CLIP,32798,2020-12-16T11:24:42Z,2026-03-13T16:35:08Z,Jupyter Notebook,29,0,443,192
stanfordnlp,dspy,32780,2023-01-09T21:01:51Z,2026-03-13T16:25:30Z,Python,1482,106,1524,1242
google,comprehensive-rust,32735,2022-12-21T15:17:24Z,2026-03-13T16:45:25Z,Rust,2404,0,362,242
alibaba,nacos,32729,2018-06-15T06:49:27Z,2026-03-13T17:44:09Z,Java,3348,89,9495,9289
mli,paper-reading,32684,2021-10-22T06:34:51Z,2026-03-13T17:38:20Z,,15,0,0,0
